State,District
andhra+pradesh,adilabad
andhra+pradesh,anantapur
andhra+pradesh,chittoor
andhra+pradesh,cuddapah
andhra+pradesh,east+godavari
andhra+pradesh,guntur
andhra+pradesh,hyderabad
andhra+pradesh,karimnagar
andhra+pradesh,khammam
andhra+pradesh,krishna
andhra+pradesh,kurnool
andhra+pradesh,mahbubnagar
andhra+pradesh,medak
andhra+pradesh,nalgonda
andhra+pradesh,nellore
andhra+pradesh,nizamabad
andhra+pradesh,prakasam
andhra+pradesh,rangareddi
andhra+pradesh,srikakulam
andhra+pradesh,vishakhapatnam
andhra+pradesh,vizianagaram
andhra+pradesh,warangal
andhra+pradesh,west+godavari
arunachal+pradesh,changlang
arunachal+pradesh,dibang+valley
arunachal+pradesh,east+kameng
arunachal+pradesh,east+siang
arunachal+pradesh,lohit
arunachal+pradesh,lower+subansiri
arunachal+pradesh,tawang
arunachal+pradesh,tirap
arunachal+pradesh,upper+subansiri
arunachal+pradesh,west+kameng
arunachal+pradesh,west+siang
assam,barpeta
assam,cachar
assam,darrang
assam,dhemaji
assam,dhubri
assam,dibrugarh
assam,golaghat
assam,golapara
assam,hailakandi
assam,jorhat
assam,kamrup
assam,karbi+anglong
assam,karimganj
assam,kokrajhar
assam,lakhimpur
assam,nagaon
assam,nalbari
assam,north+cachar+hills
assam,sibsagar
assam,sonitpur
assam,tinsukia
bihar,araria
bihar,aurangabad
bihar,banka
bihar,begusarai
bihar,bhagalpur
bihar,bhojpur
bihar,buxar
bihar,darbhanga
bihar,gaya
bihar,gopalganj
bihar,jamui
bihar,jehanabad
bihar,kaimur
bihar,katihar
bihar,khagaria
bihar,kishanganj
bihar,lakhisarai
bihar,madhepura
bihar,madhubani
bihar,munger
bihar,muzaffarpur
bihar,nalanda
bihar,nawada
bihar,paschim+champaran
bihar,patna
bihar,purba+champaran
bihar,purnia
bihar,rohtas
bihar,saharsa
bihar,samastipur
bihar,saran
bihar,sheikhpura
bihar,sheohar
bihar,sitamarhi
bihar,siwan
bihar,supaul
bihar,vaishali
chandigarh,chandigarh
chhattisgarh,bastar
chhattisgarh,bilaspur
chhattisgarh,dantewada
chhattisgarh,dhamtari
chhattisgarh,durg
chhattisgarh,janjgir
chhattisgarh,jashpur
chhattisgarh,kanker
chhattisgarh,kawardha
chhattisgarh,korba
chhattisgarh,koriya
chhattisgarh,mahasamund
chhattisgarh,raigad
chhattisgarh,raipur
chhattisgarh,rajnandgaon
chhattisgarh,surguja
dadra+and+nagar+haveli,dadra+and+nagar+haveli
delhi,new+delhi
gujarat,ahmedabad
gujarat,amreli
gujarat,anand
gujarat,banas+kantha
gujarat,bharuch
gujarat,bhavnagar
gujarat,dahod
gujarat,dangs
gujarat,gandhinagar
gujarat,kheda
gujarat,kutch
gujarat,mehsana
gujarat,narmada
gujarat,panchmahal
gujarat,patan
gujarat,rajkot
gujarat,sabarkantha
gujarat,surat
gujarat,surendranagar
gujarat,vadodara
haryana,ambala
haryana,bhiwani
haryana,faridabad
haryana,fatehabad
haryana,gurgaon
haryana,hissar
haryana,jhajjar
haryana,jind
haryana,kaithal
haryana,karnal
haryana,kurukshetra
haryana,mahendragarh
haryana,panchkula
haryana,panipat
haryana,rewari
haryana,rohtak
haryana,sirsa
haryana,sonepat
haryana,yamunanagar
himachal+pradesh,chamba
himachal+pradesh,hamirpur
himachal+pradesh,kangra
himachal+pradesh,kinnaur
himachal+pradesh,kulu
himachal+pradesh,lahaul+and+spiti
himachal+pradesh,mandi
himachal+pradesh,shimla
himachal+pradesh,sirmaur
himachal+pradesh,solan
himachal+pradesh,una
jammu+and+kashmir,anantnag
jammu+and+kashmir,badgam
jammu+and+kashmir,baramula
jammu+and+kashmir,doda
jammu+and+kashmir,jammu
jammu+and+kashmir,kargil
jammu+and+kashmir,kathua
jammu+and+kashmir,kupwara
jammu+and+kashmir,ladakh+(leh)
jammu+and+kashmir,pulwama
jammu+and+kashmir,punch
jammu+and+kashmir,rajauri
jammu+and+kashmir,srinagar
jammu+and+kashmir,udhampur
jharkhand,bokaro
jharkhand,chatra
jharkhand,deoghar
jharkhand,dhanbad
jharkhand,dumka
jharkhand,east+singbhum
jharkhand,garwah
jharkhand,giridih
jharkhand,godda
jharkhand,gumla
jharkhand,hazaribagh
jharkhand,kodarma
jharkhand,lohardaga
jharkhand,pakur
jharkhand,palamau
jharkhand,ranchi
jharkhand,sahebganj
jharkhand,west+singbhum
karnataka,bagalkote
karnataka,bangalore+rural
karnataka,bangalore+urban
karnataka,belgam
karnataka,bellary
karnataka,bidar
karnataka,bijapur
karnataka,chamarajanagar
karnataka,chikmagalur
karnataka,chitradurga
karnataka,davangere
karnataka,dharwad
karnataka,gadag
karnataka,gulbarga
karnataka,hassan
karnataka,haveri
karnataka,kodagu
karnataka,kolar
karnataka,koppal
karnataka,mandya
karnataka,mysore
karnataka,raichur
karnataka,shimoga
karnataka,tumkur
kerala,idukki
madhya+pradesh,balaghat
madhya+pradesh,barwani
madhya+pradesh,betul
madhya+pradesh,bhind
madhya+pradesh,bhopal
madhya+pradesh,chhatarpur
madhya+pradesh,chindwara
madhya+pradesh,damoh
madhya+pradesh,datia
madhya+pradesh,dewas
madhya+pradesh,dhar
madhya+pradesh,dindori
madhya+pradesh,east+nimar
madhya+pradesh,guna
madhya+pradesh,gwalior
madhya+pradesh,harda
madhya+pradesh,hoshangabad
madhya+pradesh,indore
madhya+pradesh,jabalpur
madhya+pradesh,jhabua
madhya+pradesh,katni
madhya+pradesh,mandla
madhya+pradesh,mandsaur
madhya+pradesh,morena
madhya+pradesh,narsinghpur
madhya+pradesh,neemuch
madhya+pradesh,panna
madhya+pradesh,raisen
madhya+pradesh,rajgarh
madhya+pradesh,ratlam
madhya+pradesh,rewa
madhya+pradesh,sagar
madhya+pradesh,satna
madhya+pradesh,sehore
madhya+pradesh,seoni
madhya+pradesh,shahdol
madhya+pradesh,shajapur
madhya+pradesh,sheopur
madhya+pradesh,shivpuri
madhya+pradesh,sidhi
madhya+pradesh,tikamgarh
madhya+pradesh,ujjain
madhya+pradesh,umaria
madhya+pradesh,vidisha
madhya+pradesh,west+nimar
maharashtra,ahmednagar
maharashtra,akola
maharashtra,amravati
maharashtra,aurangabad
maharashtra,beed
maharashtra,bhandara
maharashtra,buldana
maharashtra,chandrapur
maharashtra,dhule
maharashtra,gadchiroli
maharashtra,gondia
maharashtra,hingoli
maharashtra,jalgaon
maharashtra,jalna
maharashtra,kolhapur
maharashtra,latur
maharashtra,nagpur
maharashtra,nanded
maharashtra,nandurbar
maharashtra,nashik
maharashtra,osmanabad
maharashtra,parbhani
maharashtra,pune
maharashtra,sangli
maharashtra,satara
maharashtra,sholapur
maharashtra,wardha
maharashtra,washim
maharashtra,yeotmal
manipur,bishnupur
manipur,chandel
manipur,churachandpur
manipur,imphal
manipur,imphal+east
manipur,imphal+west
manipur,senapati
manipur,tamenglong
manipur,thoubal
manipur,ukhrul
meghalaya,east+garo+hills
meghalaya,east+khasi+hills
meghalaya,jaintia+hills
meghalaya,west+garo+hills
meghalaya,west+khasi+hills
mizoram,aizwal
mizoram,champhai
mizoram,kolasib
mizoram,lawngtlai
mizoram,lunglei
mizoram,mamit
mizoram,saiha
nagaland,kohima
nagaland,mokokchung
nagaland,mon
nagaland,phek
nagaland,tuensang
nagaland,wokha
nagaland,zunheboto
orissa,angul
orissa,balangir
orissa,balasore
orissa,bargarh
orissa,baudh
orissa,bhadrak
orissa,cuttack
orissa,deogarh
orissa,dhenkanal
orissa,gajapati
orissa,ganjam
orissa,jagatsinghpur
orissa,jajpur
orissa,jharsuguda
