State,District
andhra+pradesh,adilabad
andhra+pradesh,hyderabad
andhra+pradesh,karimnagar
andhra+pradesh,khammam
andhra+pradesh,mahbubnagar
andhra+pradesh,medak
andhra+pradesh,nalgonda
andhra+pradesh,nizamabad
andhra+pradesh,rangareddi
andhra+pradesh,warangal
andhra+pradesh,west+godavari
arunachal+pradesh,changlang
arunachal+pradesh,dibang+valley
arunachal+pradesh,east+kameng
arunachal+pradesh,lohit
arunachal+pradesh,lower+subansiri
arunachal+pradesh,tawang
arunachal+pradesh,tirap
arunachal+pradesh,upper+subansiri
arunachal+pradesh,west+siang
assam,darrang
assam,dhemaji
assam,golaghat
assam,golapara
assam,hailakandi
assam,jorhat
assam,kamrup
assam,karbi+anglong
assam,karimganj
assam,kokrajhar
assam,lakhimpur
assam,nagaon
assam,nalbari
assam,north+cachar+hills
assam,sibsagar
assam,sonitpur
assam,tinsukia
bihar,araria
bihar,aurangabad
bihar,banka
bihar,begusarai
bihar,bhagalpur
bihar,bhojpur
bihar,buxar
bihar,darbhanga
bihar,gaya
bihar,gopalganj
bihar,jamui
bihar,jehanabad
bihar,kaimur
bihar,katihar
bihar,khagaria
bihar,kishanganj
bihar,lakhisarai
bihar,madhepura
bihar,madhubani
bihar,munger
bihar,muzaffarpur
bihar,nalanda
bihar,nawada
bihar,paschim+champaran
bihar,purba+champaran
bihar,purnia
bihar,rohtas
bihar,saharsa
bihar,samastipur
bihar,saran
bihar,sheikhpura
bihar,sheohar
bihar,sitamarhi
bihar,siwan
bihar,supaul
bihar,vaishali
chandigarh,chandigarh
chhattisgarh,dantewada
chhattisgarh,durg
chhattisgarh,kanker
chhattisgarh,kawardha
chhattisgarh,koriya
chhattisgarh,raigad
dadra+and+nagar+haveli,dadra+and+nagar+haveli
delhi,new+delhi
gujarat,ahmedabad
gujarat,anand
gujarat,bhavnagar
haryana,faridabad
haryana,fatehabad
haryana,gurgaon
haryana,hissar
haryana,jhajjar
haryana,jind
haryana,kaithal
haryana,kurukshetra
haryana,panchkula
haryana,panipat
haryana,rewari
himachal+pradesh,chamba
himachal+pradesh,lahaul+and+spiti
jammu+and+kashmir,badgam
jammu+and+kashmir,kargil
jammu+and+kashmir,ladakh+(leh)
jammu+and+kashmir,punch
jammu+and+kashmir,rajauri
jharkhand,bokaro
jharkhand,chatra
jharkhand,deoghar
jharkhand,dhanbad
jharkhand,dumka
jharkhand,east+singbhum
jharkhand,garwah
jharkhand,giridih
jharkhand,godda
jharkhand,gumla
jharkhand,hazaribagh
jharkhand,kodarma
jharkhand,lohardaga
jharkhand,pakur
jharkhand,palamau
jharkhand,sahebganj
jharkhand,west+singbhum
karnataka,bangalore+rural
karnataka,belgam
karnataka,bellary
karnataka,bijapur
karnataka,chikmagalur
karnataka,gulbarga
karnataka,mysore
karnataka,shimoga
karnataka,tumkur
madhya+pradesh,barwani
madhya+pradesh,betul
madhya+pradesh,datia
madhya+pradesh,dewas
madhya+pradesh,dindori
madhya+pradesh,east+nimar
madhya+pradesh,harda
madhya+pradesh,katni
madhya+pradesh,morena
madhya+pradesh,panna
madhya+pradesh,rajgarh
madhya+pradesh,rewa
madhya+pradesh,sehore
madhya+pradesh,shahdol
madhya+pradesh,sheopur
madhya+pradesh,sidhi
madhya+pradesh,west+nimar
maharashtra,beed
maharashtra,bhandara
maharashtra,dhule
maharashtra,gadchiroli
maharashtra,hingoli
maharashtra,jalna
maharashtra,nanded
maharashtra,nandurbar
maharashtra,washim
manipur,bishnupur
manipur,chandel
manipur,churachandpur
manipur,imphal
manipur,imphal+east
manipur,imphal+west
manipur,senapati
manipur,tamenglong
manipur,thoubal
manipur,ukhrul
meghalaya,east+garo+hills
meghalaya,jaintia+hills
meghalaya,west+garo+hills
meghalaya,west+khasi+hills
mizoram,aizwal
mizoram,champhai
mizoram,kolasib
mizoram,lawngtlai
mizoram,lunglei
mizoram,mamit
mizoram,saiha
nagaland,mokokchung
nagaland,mon
nagaland,phek
nagaland,tuensang
nagaland,wokha
nagaland,zunheboto
orissa,balangir
orissa,bargarh
orissa,baudh
orissa,bhadrak
orissa,kendrapara
orissa,kendujhar
orissa,khordha
orissa,nabarangapur
orissa,nuapada
pondicherry,karaikal
pondicherry,yanam
punjab,faridkot
punjab,fatehgarh+sahib
punjab,firozpur
punjab,kapurthala
punjab,mansa
punjab,muktsar
punjab,rupnagar
